query,platform,Unnamed: 2,label
"నేను ఫస్ట్ టైమ్ డాన్స్ చేస్తున్నాను Sridevi Comments On His Dance | Band Melam | Harsh Roshan | ACAlways Cinema23 Feb 2026, 22:00:10 GMT+05:30",YouTube,,1
"Daivik tho shopping 💖🥰✨ #minivlog #trend #explore #shortvideo #daivik #babyboy #love #ytshortsDivya Vlogs23 Feb 2026, 22:00:09 GMT+05:30",YouTube,,0
"https://www.youtube.com/watch?v=xdRSYuwqg8o23 Feb 2026, 22:00:06 GMT+05:30",YouTube,,1
"Abhiman 💙🧡 made her smile | Abhishek Sharma and Shubman Gill | #abhisheksharma #shubmangill #AbhimanAbhiman edits 770423 Feb 2026, 22:00:03 GMT+05:30",YouTube,,1
"ASMR journal scenery City Rain Romance💧🏙️♥️🌧️|#asmr #art #scrapbooking #journal #diy #journalingTori Journal23 Feb 2026, 22:00:02 GMT+05:30",YouTube,,0
"అల్లు శిరీష్ నయనిక రెడ్డి పేర్లు రాసి ‘లవ్ లాక్ బ్రిడ్జ్’ కి లాక్ చేసాడు | Allu Sirish & NayanikiAruna Media23 Feb 2026, 21:59:57 GMT+05:30",YouTube,,1
"https://www.youtube.com/watch?v=nQZdxIIPodY23 Feb 2026, 21:59:55 GMT+05:30",YouTube,,1
"Don't Do This Work 😭💔 || #islamicstatus​ #islamicshorts​ #islamicsayings​wk ainen 23 Feb 2026, 21:59:40 GMT+05:30",YouTube,,0
"Hardik’s gift to natasa and agastya❤️🌟 #hardikpandya #natasastankovic #agastyapandyaTara edits23 Feb 2026, 21:59:30 GMT+05:30",YouTube,,1
"ఒకసారి ఉపాసన పొట్ట, పేస్ చూస్తే #upasanakonidela#ramcharan#shorts#viral#millionviews#latestupdatesmemes pila Sri 23 Feb 2026, 21:59:23 GMT+05:30",YouTube,,1
"Kiran Abbavaram son First time shooting set lo vachadu Meme #trending #kiranabbavarampilla Knowledge23 Feb 2026, 21:59:17 GMT+05:30",YouTube,,1
"Kriti Sanon National Award #shorts #trending #bellavitaperfume #perfume #kritisanon #perfumeAcTechno • 1.2M views • 1 month ago ...23 Feb 2026, 21:59:10 GMT+05:30",YouTube,,0
"Vijay and Rashmika marriage #devarakonda #love #rashmikamandanna #virosh #vijaydeverakonda #marriageVirosh Cutz23 Feb 2026, 21:59:08 GMT+05:30",YouTube,,1
"She is a great person ✨😚#saipallavi #shorts #alluarjun #trendingEdit.B-123 Feb 2026, 21:59:06 GMT+05:30",YouTube,,0
"Asher ka rona is permanent 🥹😂#nischaymalhan #ruchikarathore @triggeredinsaanInsaan Tejas23 Feb 2026, 21:59:00 GMT+05:30",YouTube,,1
"anushka and virat have zero ego🥰.#anushkasharma#viratkohli#aliabhatt#bollywood#viralshorts#cricketBollywood Baddie23 Feb 2026, 21:58:50 GMT+05:30",YouTube,,1
"Devar-bhabhi trend winner 😝🔥 #ruchikarathore #shortsfeed #shorts #viral @FukraInsaanyt obsessed 23 Feb 2026, 21:58:47 GMT+05:30",YouTube,,0
"Smriti never stops..😍😍 | Smriti Mandhana | Jemimah #smritimandhana #jemimahrodriguesBeingNeeraj23 Feb 2026, 21:58:45 GMT+05:30",YouTube,,1
"రాగానే అల్లు అర్జున్ పరిగెత్తుకొని ఎలా హగ్ ఇస్తున్నాడో చూడండి...Ramcharan Alluarjun VisualsSSP TV23 Feb 2026, 21:58:38 GMT+05:30",YouTube,,1
"Thank you for 17M views♥️ #practicalhuduga #tufting #handtuftedrugsKarthik23 Feb 2026, 21:58:37 GMT+05:30",YouTube,,1
"A brand car to Asher on his 1st birthday 😱❤️ @triggeredinsaan  #liveinsaan #shortsTriggered Anaya 23 Feb 2026, 21:58:34 GMT+05:30",YouTube,,1
"Katrina Kaif and Vicky Kaushal, Dance On Swag Se Swagat and Most Popular Dialogue How Is The Josh...Beats On Music23 Feb 2026, 21:58:33 GMT+05:30",YouTube,,0
"మమ్మీ డాడీ ప్రేమ 💕#trending #family #comedy #emotional #funny #viral #ytshortvideosU Turns Creations23 Feb 2026, 21:58:32 GMT+05:30",YouTube,,1
"🥹లవర్￼ vlog🤣full fun😂#viral #comedy #ytshorts #funny #trending #shorts #ytshorts #puppy #minivlogYashu Sony Official23 Feb 2026, 21:58:31 GMT+05:30",YouTube,,1
"When Neetu tried the lehanga worn by kriti for a wedding 🤩🤗 #fashion#viral #kritisanon#neetubishtteatoshine23 Feb 2026, 21:58:28 GMT+05:30",YouTube,,1
"Harsh Jiju 🧿🥹💗 @WanderersHub #prernamalhan #wanderershub #triggeredinsaanQuick edit23 Feb 2026, 21:58:23 GMT+05:30",YouTube,,1
"https://www.youtube.com/watch?v=jvQlFBVSuRU23 Feb 2026, 21:58:21 GMT+05:30",YouTube,,1
"#varuntej & #lavanyatripathi spotted at hyd airport..AS Media 23 Feb 2026, 21:58:04 GMT+05:30",YouTube,,0
"నిజం దాచలేదు…అదే నాకు నీపై ఇష్టం పెంచింది ❤️ #affection #understanding #love #venkatrajivlogsVenkat Raji Vlogs23 Feb 2026, 21:58:02 GMT+05:30",YouTube,,1
"GOLLA PAPA KO APNA HI GHAR DIKHA RAHA HAI 😂😂#bhartisingh #shortsTannu.kairav vlogs23 Feb 2026, 21:57:53 GMT+05:30",YouTube,,0
"Everyone Love Arijit Singh ❤️ Pure Simplicity & Soulful Voice #simplicityDil Se Arijit Music23 Feb 2026, 21:57:45 GMT+05:30",YouTube,,1
"Idhi punarvika kosam 🙏🏻#ishqyouall #swv #youtube #telugu #punarvikaSoundarya with Varshini - Telugu23 Feb 2026, 21:57:44 GMT+05:30",YouTube,,1
"Mere Bete Ki Pehli Holi Hain 🥳...#shortsLOL (Life of Limbachiyaa’s)23 Feb 2026, 21:57:41 GMT+05:30",YouTube,,0
"Vijay Rashmika's Wedding in Udaipur 😭💗 #love #rashmikamandanna #virosh #vijaydeverakonda #marriageVirosh Cutz23 Feb 2026, 21:57:38 GMT+05:30",YouTube,,0
"Jiju ka motive kya h 😁😱 @triggeredinsaan  #liveinsaan #shortsTriggered Anaya 23 Feb 2026, 21:57:34 GMT+05:30",YouTube,,1
"Outfit- 40 🤩❤️ #saree #collegehaul #indianattire #indianclothes #minivlog #indianfashion #dress23 Feb 2026, 21:57:26 GMT+05:30",YouTube,,1
"👍డాడీ వంటలు💕 రాత్రి 1:30 కి పాప్కాన్ #trending #  mutton pickle,# family cooking #viral #shortvideosU Turns Creations23 Feb 2026, 21:57:24 GMT+05:30",YouTube,,1
"Bahut Intezaar kiya 🥺 || Poonam P BishtPoonam P Bisht23 Feb 2026, 21:56:55 GMT+05:30",YouTube,,1
"ఎన్ని చూశానో తెలుసా 🥰🌼 #haldiceremony #haldi #haldidecorHima Journal from USA22 Feb 2026, 19:31:07 GMT+05:30",YouTube,,1
"Abhishek's savage entry! 🔥😎 #triggeredinsaan #shortsfeed #shorts #viral @FukraInsaanyt obsessed 22 Feb 2026, 19:31:00 GMT+05:30",YouTube,,0
"🥺papam loki 🤣😂#comedy #funny #trending #youtubeshorts #funnyfam #ytshorts short #love #shortsfeedU Turns Creations22 Feb 2026, 19:30:58 GMT+05:30",YouTube,,1
"Asher ko mila gift♥️😘@triggeredinsaan #liveinsaan #shorts#fyp #trending#dimplemalhan#indianyoutuberTriggered Ahaana 22 Feb 2026, 19:30:56 GMT+05:30",YouTube,,1
"Invited to😍 Bathukamma utsav 🥰 #trending #bathukamma #family #viral #shortsYashu Sony Official22 Feb 2026, 19:30:44 GMT+05:30",YouTube,,1
"இனி மல்லி பூ கட்டலாம் easy ya 🤔😧🙄|flower tieing machine#trending #trendingshorts #tamil #ytshortsஆச்சர்யமும் அதிசயமும் in Tamil22 Feb 2026, 19:30:38 GMT+05:30",YouTube,,1
"BOY'S Childhood Dream..🥹🔥 #cricket@93AbhishekEdits22 Feb 2026, 19:30:27 GMT+05:30",YouTube,,1
"Ye chammach hi to hai was 😜🎀💗 @triggeredinsaan #triggeredinsaan #nischaymalhan #ruchikarathoreQuick edit22 Feb 2026, 19:30:24 GMT+05:30",YouTube,,0
"Asher's Masti with his mami ☺❤ #ruchikarathore #triggeredinsaanQuick edit22 Feb 2026, 19:30:15 GMT+05:30",YouTube,,1
"🤣అబ్బా ఇంకా ఎంతసేపు😮‍💨 #shorts #comedy #youtubeshorts #trending #telugu #funny #viralYashu Sony Official22 Feb 2026, 19:30:08 GMT+05:30",YouTube,,1
"Baby tho hospital visit 🩷Jyothakka22 Feb 2026, 15:19:06 GMT+05:30",YouTube,,1
"summer🌞 start ఐంది …? #viral #family #minivlog #shortvideo #DermDoc #PurpleSunscreen #reels #shortsU Turns Creations22 Feb 2026, 15:18:36 GMT+05:30",YouTube,,1
"Iftar Ke Baad Ka Kaam 🥱 #team03 #shorts @sadimkhan03 @mariakhan.03Mukeem Khan22 Feb 2026, 15:17:23 GMT+05:30",YouTube,,1
"జంతు బలి చేస్తే.. నిజంగా మంచి జరుగుతదా ☹️😔 #viral #shortvideo #minivlog #shorts #short #viralvideosaiprasanna jatoth22 Feb 2026, 15:17:22 GMT+05:30",YouTube,,0
"👍డాడీ వంటలు💕  పాప్కాన్ #trending #  mutton pickle,# family cooking #viral #shortvideosU Turns Creations22 Feb 2026, 15:16:50 GMT+05:30",YouTube,,1
"chocolate cake ##square cake design ##cake icing ##cake garnishing ##cakecantik ##cakedecoratingMANOJ kumar singh 22 Feb 2026, 15:16:44 GMT+05:30",YouTube,,1
"💕డాడీ వంటలు 🏡🐓#trending #family # chicken recipe #food #viral #short videoU Turns Family22 Feb 2026, 15:16:31 GMT+05:30",YouTube,,1
"Roke Ka Khana ❤️ || Poonam P BishtPoonam P Bisht22 Feb 2026, 15:16:28 GMT+05:30",YouTube,,1
"Frist drive after delivery without baby 💜🫣Jyothakka22 Feb 2026, 15:16:12 GMT+05:30",YouTube,,1
"please donate me i need donations link in descriptionfatima ahmad22 Feb 2026, 13:29:19 GMT+05:30",YouTube,,1
"The Boy's 🤣 #cricket #shortsJaid's edits 22 Feb 2026, 13:29:17 GMT+05:30",YouTube,,0
"👊😨ఫన్నీ కపుల్స్ part:-1 😂#viral #couple #comedy #funny #youtubeshorts #shorts #minivlog #funnycomedyU Turns Creations22 Feb 2026, 13:29:15 GMT+05:30",YouTube,,1
"Marriage proposal to Asher 🤭❤️ @triggeredinsaan #liveinsaan #shortsTriggered Anaya 22 Feb 2026, 13:29:06 GMT+05:30",YouTube,,1
"Pahadi Jewellery ❤️ || Poonam P BishtPoonam P Bisht22 Feb 2026, 13:27:53 GMT+05:30",YouTube,,1
"లావణ్య లాంటి భార్య దొరకడం వరుణ్ తేజ్ అదృష్టం | Lavanya Tripathi | Varun tej | SSP TVSSP TV22 Feb 2026, 13:27:46 GMT+05:30",YouTube,,1
"Abhishek trying to enter in Prerna di's house😂#fukrainsaan #shorts#malhanfamily #youtubeshortsMalhan Family Clips 22 Feb 2026, 13:27:41 GMT+05:30",YouTube,,0
"Now she made Special Room for them❤ @WanderersHub #triggeredinsaan #fukrainsaan #prernamalhanQuick edit22 Feb 2026, 13:27:35 GMT+05:30",YouTube,,0
"No need to return that🤧❤️ #shortsfeed #youtubeshorts #trending #explore #bestmoments #drama #editSailu_Food_vlog22 Feb 2026, 13:27:01 GMT+05:30",YouTube,,0
"Dubai museum 🖼️ expensive item 🤯 #facts #telugu #shorts #shortvideo #shortsfeed #viralTelugu Ganesha Facts22 Feb 2026, 13:26:58 GMT+05:30",YouTube,,0
"MAINE EK LADKI SE PIYAR PYAR KARTA HUN | #minivlog #minivlogs #shopping #love_status #shortsMini volg India22 Feb 2026, 13:26:57 GMT+05:30",YouTube,,0
"The Way She Respect Him ❤️‍🩹🫂#ravindrajadeja#cricketFourty5 Nation22 Feb 2026, 13:26:53 GMT+05:30",YouTube,,1
"Alhamdulillah full cleaned this masjid and wajukhana #islamikshorta#shorts#islamikvideoSakib Zameel22 Feb 2026, 13:26:51 GMT+05:30",YouTube,,1
"Kapil Sharma Badly Roasted Alia Bhatt 🔥 #shorts #filmfare #kapilsharmaKhan's Parody22 Feb 2026, 13:25:55 GMT+05:30",YouTube,,0
"Tag your mummy 🤣 #family #comedy #vairalvideo #funnyU Turns Family22 Feb 2026, 13:25:49 GMT+05:30",YouTube,,0
"the way nischay explain her maid 🥹❤️ @triggeredinsaan #liveinsaan #shortsTriggered Anaya 22 Feb 2026, 13:25:23 GMT+05:30",YouTube,,0
"Virat Bhai, We Noticed Something Else 😂 #viratkohli #anushkasharma #aliabhatt #bollywood #shortsThe Filmy Folk22 Feb 2026, 13:25:12 GMT+05:30",YouTube,,0
"అన్నా చెల్లి emotion💕🫂#trending #family #sentiment #brother & sister bonding #viral #ytshortvideosU Turns Creations22 Feb 2026, 13:24:15 GMT+05:30",YouTube,,1
"She found ᥫ᭡. a gentleman boy ♥️#kdrama #cdrama #love #shortshan-guk mix Hindi song22 Feb 2026, 13:23:34 GMT+05:30",YouTube,,1
"lavanya #sudigalisudheer  #zeetelugu #aata  #saregamapa  #vishnupriya #viralshortsMOVIES 🎬WOOOO22 Feb 2026, 13:23:31 GMT+05:30",YouTube,,1
"The best 🥺🥺💝💝🤌🤌 #nischaymalhan #prernamalhan #ruchikarathore #dimplemalhanvlogs #triggeredinsaan #ytATriggeredMoments22 Feb 2026, 13:23:29 GMT+05:30",YouTube,,1
"Chinna kuthuru 🥰💕 #viral #trending #minivlog #family #shortvideo #ytshortsLoki Anji Entertainment22 Feb 2026, 13:22:53 GMT+05:30",YouTube,,0
"అత్తమ్మ ఏమైంది💕డాడీ వంటలు 🏡#trending #family #పన్నీర్ కర్రీ #viral #food #minivlogU Turns Creations22 Feb 2026, 13:22:05 GMT+05:30",YouTube,,1
"Naaku soundarya ku pedha godava jarigindhi😮‍💨 #youtube #telugu #youtubeshortsBhanu Chandar22 Feb 2026, 13:21:59 GMT+05:30",YouTube,,1
"✨🥳నేను fruit salad చేశాను 🤤🍨#shorts #viral #youtubeshorts #trending #cooking #like #foodShai Shravani22 Feb 2026, 13:21:43 GMT+05:30",YouTube,,0
"🤯Shock అయ్యాం‼️ఇలా spread అయ్యిద్ది అనుకోలేదు😨#shorts #trending #gardening #gardeningtips #mintSandhya Samayam🌸22 Feb 2026, 13:20:40 GMT+05:30",YouTube,,1
"New harvest @Vaaradhi_Farms ❤️Vaaradhi Farms22 Feb 2026, 13:20:37 GMT+05:30",YouTube,,1
"https://www.youtube.com/watch?v=xK1wOtP3BBg22 Feb 2026, 13:19:55 GMT+05:30",YouTube,,1
"వరుణ్ తేజ్ కొడుకుని చూడడానికి వచ్చిన సుమ | Varun Tej | Lavanya Tripathi | SSP TVSSP TV22 Feb 2026, 13:19:46 GMT+05:30",YouTube,,1
"Grandmama’s are angel 👼😇puffyrig22 Feb 2026, 13:19:45 GMT+05:30",YouTube,,1
"Down to earth my idol ❤️✨ #viratkohli #anushkasharmaMinds Says22 Feb 2026, 13:19:38 GMT+05:30",YouTube,,1
"When doctor said it’s baby girl 🩷Jyothakka22 Feb 2026, 13:19:32 GMT+05:30",YouTube,,0
"Dad's princess 💗#ytshorts #viralshort #shortfeed #youtubeshorts #priyankachopra #nickjonasVp creation 22 Feb 2026, 13:19:17 GMT+05:30",YouTube,,1
"Jabardasth Auto Ramprasad & Actress Tanmayee Visual's Tirupati Balaji Temple | SidhuTV#shortsSIDHUTV NETWORK22 Feb 2026, 13:19:15 GMT+05:30",YouTube,,1
"sas ke liye blessings mangi Bharati SinghAaj Ka Kharchaa22 Feb 2026, 13:19:11 GMT+05:30",YouTube,,1
"https://www.youtube.com/watch?v=W_Wcn4Mr1Sg22 Feb 2026, 13:18:43 GMT+05:30",YouTube,,1
"నా భర్త నన్ను దేవతలాగా చూసుకుంటాడు | Lavanya Tripathi  | Varun Tej | SSP TVSSP TV22 Feb 2026, 13:18:36 GMT+05:30",YouTube,,1
"Chinnakuthuru Thing#chinnakuthuru #sankranthi #momdaughter #girls #funny #funnyvideo #sankranthi2026Voiceofanjali22 Feb 2026, 13:18:30 GMT+05:30",YouTube,,1
"what a interesting dare by nischay 😅❤️ @triggeredinsaan #liveinsaan #shortsTriggered Anaya 22 Feb 2026, 13:18:04 GMT+05:30",YouTube,,1
"ohh god this scene waise happy 12 million celebration #fukra insaan #triggered insaanNashras_edit22 Feb 2026, 13:17:59 GMT+05:30",YouTube,,0
"Fagli 2026   #shorts #foodieaashi katoch ✨22 Feb 2026, 13:17:54 GMT+05:30",YouTube,,1
"#danganronpaFact Rin22 Feb 2026, 13:17:34 GMT+05:30",YouTube,,1
"Ok I got it 👍💗 @triggeredinsaan #ruchikarathore #shortsviral #trendingTriggered Shifu22 Feb 2026, 13:17:20 GMT+05:30",YouTube,,1
"Kacche Aam Ka Aam Papad 😆 #neetubisht #lakhneet #youtubeshorts #youtubeshorts #minivlog #cookingNeetu Bisht22 Feb 2026, 13:17:06 GMT+05:30",YouTube,,1
"At Kona Venkat garu birthday party 🥳Rithu Chowdhary22 Feb 2026, 13:17:00 GMT+05:30",YouTube,,1
"Ramadan 1/30 🌙  #ramdanmubarak #ramadankareem #ramadanseries #fitness #gymworkout #nellore #vlogASHRAF22 Feb 2026, 13:16:58 GMT+05:30",YouTube,,1
"Faith, Respect & Brotherhood:A Beautiful Moment from the Cricket Stadium#indiancricketCricketer AK 22 Feb 2026, 13:16:57 GMT+05:30",YouTube,,0
"proud of you girls 🥹❤️ @triggeredinsaan #liveinsaan #shortsTriggered Anaya 22 Feb 2026, 13:16:54 GMT+05:30",YouTube,,1
"#VarunTej and #LavanyaTripathi at #AlluSirish & #Nayanika Engagement Ceremony | GulteGulte.com22 Feb 2026, 13:16:52 GMT+05:30",YouTube,,1
"Allu Sirish & Nayanika Wedding Festivities Begin with Pasupu Ceremony | Popper Stop TeluguPopper Stop Telugu22 Feb 2026, 13:16:22 GMT+05:30",YouTube,,1
"Bro passed the vibe check!✅♥️ Ranjhana cover! #ranjhana #ranjhanacover #ranjhanasong #musicianlifeDVflopartist22 Feb 2026, 13:15:49 GMT+05:30",YouTube,,1
"Mummy Dress Toh Bhot Aacha Pehene Hai Kaha Se Liye 🤔 #explore #ytshorts #shortvideo #shortsviralAfroz Recipe Vlogs22 Feb 2026, 13:15:44 GMT+05:30",YouTube,,0
"🫂హ్యాపీ ఫ్యామిలీ💕🏡#trending #family # #love #comedy #viral #ytshortsLoki Anji Entertainment22 Feb 2026, 13:15:09 GMT+05:30",YouTube,,0
"😈 Motivation Status || 🔥 Boys Attitude Status || WhatsApp Status 2026 #viral​ #attitude​ #aestheic​LION👑IS👑BACK 22 Feb 2026, 13:15:09 GMT+05:30",YouTube,,1
"This scene melt our hearts 🥹❤️ @triggeredinsaan #liveinsaan #shortsTriggered Anaya 22 Feb 2026, 13:15:04 GMT+05:30",YouTube,,1
"Save punarvika #youtube #telugu #shorts #punarvikaBhanu Chandar22 Feb 2026, 13:15:02 GMT+05:30",YouTube,,1
"Shortened: ✨ Chemist at Play Underarm Roll-On – Your Go-To for Freshness and Even Tone! ✨22 Feb 2026, 13:15:01 GMT+05:30",YouTube,,1
"Kya Dekhe Kar Golla Hua Khush  ?😊 #golla #funny #bhartisingh #haarshlimbachiyaaLOL (Life of Limbachiyaa’s)22 Feb 2026, 13:14:58 GMT+05:30",YouTube,,1
"Yeh haarsh kya kar raha hain 😱...#shortsLOL (Life of Limbachiyaa’s)22 Feb 2026, 13:14:38 GMT+05:30",YouTube,,0
"आधा ससुराल गांव में | Stories in Hindi | Bedtime Stories | Fairy Tales | Moral Story | KahaniHindi Kahaniya TV22 Feb 2026, 09:06:38 GMT+05:30",YouTube,,0
"आलसी लड़का | Hindi Kahaniya | Moral Stories | Hindi Kahani | Hindi Fairy TalesHindi Kahaniya22 Feb 2026, 09:01:34 GMT+05:30",YouTube,,0
"Aisi bhi ek dosti🥲 #viral shortsKavya lord ishu21 Feb 2026, 22:34:52 GMT+05:30",YouTube,,0
"Rohit Sharma daughter mimicking Bumrah adorable moment #short #viral #cricketbuzz #indvsnzRootless Raahi21 Feb 2026, 22:34:51 GMT+05:30",YouTube,,1
"#ajjubhaiinmymatchADIL GREEN ZONE21 Feb 2026, 22:34:50 GMT+05:30",YouTube,,0
"Abhishek Will Comeback | Abhishek Sharma and Shubman Gill | #abhisheksharma #abhiman #shubmangillAbhiman edits 770421 Feb 2026, 22:34:45 GMT+05:30",YouTube,,1
"Hardik during Paxistan national anthem 🌚 #cricket #viral #cricketlover #hardikpandyaRaju edit 2.021 Feb 2026, 22:34:32 GMT+05:30",YouTube,,1
"#smiritimandhana #winmoment #harmanpreetkaur #jemimahrodrigues #bcciMd Seraj21 Feb 2026, 22:34:29 GMT+05:30",YouTube,,1
"Funny Fan ConfusionDubzy Mic21 Feb 2026, 22:34:27 GMT+05:30",YouTube,,1
"https://www.youtube.com/watch?v=t8B_3S9dgOw21 Feb 2026, 22:34:23 GMT+05:30",YouTube,,1
"# no  मेकप नेचुरल ब्यूटी फेसयल # its Rajni  shayar 😇21 Feb 2026, 22:34:23 GMT+05:30",YouTube,,1
"Klin kaara ki maatalu ochinaya 😍😘 #ramcharan #upasana #balayyaJust relax ra21 Feb 2026, 22:34:21 GMT+05:30",YouTube,,1
"Sisters like Athiya Shetty ❤️#athiyashettyklrahul #klrahulEndless 365 days & stories21 Feb 2026, 22:34:17 GMT+05:30",YouTube,,1
"Natasa Stankovic with krunal Pandya son💙 l #hardikpandya #natasastankovic #mumbaiindians #trendingCricket family 🖤21 Feb 2026, 22:34:02 GMT+05:30",YouTube,,0
"If this doesn’t scream #SquadGoals we don’t know what will! 😏 | WPL 2026 | RCBRoyal Challengers Bengaluru21 Feb 2026, 22:33:37 GMT+05:30",YouTube,,1
"https://www.youtube.com/watch?v=KrRfi7w8TI421 Feb 2026, 22:33:10 GMT+05:30",YouTube,,1
"ya hota hai cricket power #indian #rcbians #cricket #asiacup2022 #iplCricket Buzz21 Feb 2026, 22:33:06 GMT+05:30",YouTube,,0
"Smriti Mandhana Reveals Her Style Icon 👗 | Cricket Meets Fashion! #smritimandhana #cute #beautifulFemale In Sports21 Feb 2026, 22:33:05 GMT+05:30",YouTube,,1
"ROHIT SHARMA🔥 || CRICKET 🏏 || #cricket#cricketlover#rohitsharmaVanya pari21 Feb 2026, 22:32:57 GMT+05:30",YouTube,,1
"#trendCRIC X KRISH21 Feb 2026, 22:32:48 GMT+05:30",YouTube,,1
"#shorts #youtube #ytshorts #india #ipl #viral #trending #youtubeshorts #cricket #viralvideoCRICKET ADDA  00721 Feb 2026, 22:32:47 GMT+05:30",YouTube,,1
"#relatablememesROME CRICKETMAX121 Feb 2026, 22:32:45 GMT+05:30",YouTube,,1
"Smriti And Hardik Pandya Blushing 😍🤭|  #hardikpandya #smritimandhana #womenscricket#loveBat Ryder21 Feb 2026, 22:32:43 GMT+05:30",YouTube,,1
"OG Finish by Hard Hitter 💀18XCoverDrive21 Feb 2026, 22:32:39 GMT+05:30",YouTube,,1
"Ho Jayegi Balle Balle’🏆indian cricket team dance video #cricket​ #shortsfeed​ #viralshorts​ #shorts​SK_FAJAN_0721 Feb 2026, 22:32:31 GMT+05:30",YouTube,,1
"#parenthood #parentingtips #newborncare #baby #trendingshorts #viral #fypシ #explorepage #foryouAnshika Tiwari21 Feb 2026, 22:32:29 GMT+05:30",YouTube,,1
"bonding like friends !! ajay devgn || yug Devgn #bollywood #ajaydevgnAjaydevgnlove 21 Feb 2026, 22:32:21 GMT+05:30",YouTube,,1
"Is Palash Mucchal Behind Smriti Mandhana Negative PR #smritimandhana #palashmuchhalIt’s Unscripted With Sonia21 Feb 2026, 22:32:20 GMT+05:30",YouTube,,1
"Dil Lgana Mna Tha || Kishore Mondal || #song #music #shorts #kishormandalLyricss 21 Feb 2026, 22:32:17 GMT+05:30",YouTube,,1
"#trendChakra Editz21 Feb 2026, 22:32:02 GMT+05:30",YouTube,,1
"#filtroROME CRICKETMAX121 Feb 2026, 22:31:46 GMT+05:30",YouTube,,1
"Teddy with hardik 🥶  #cricket #indiancricketer #hardikpandya #rohitsharma #trends #aa23 #trend #sgSURYA EDITZ 21 Feb 2026, 22:31:43 GMT+05:30",YouTube,,1
"A mother’s quiet power 💖#MotherLove #AutismAwareness #UnconditionalSupport #ParentingGoals #trendingTrendymawz21 Feb 2026, 22:31:41 GMT+05:30",YouTube,,1
"Tilak Verma iconic innings against Pakistan #cricket #sports #shorts #cricketlover #cricketshortsCricket with Rajveer21 Feb 2026, 22:31:40 GMT+05:30",YouTube,,0
"The Statue Wasn’t Ready for This 💥 #danceThe Magic Crew21 Feb 2026, 22:31:39 GMT+05:30",YouTube,,1
"#mymemories5100 #mymemories #trendingshorts #viralshorts #chatrapatishivajimaharaj #sanathani #hindumymemories21 Feb 2026, 22:31:38 GMT+05:30",YouTube,,1
"Chiranjeevi & Allu Arjun Emotional Video | SIDHU TV | #pawankalyan #chiranjeevi #alluarjunSIDHUTV NETWORK21 Feb 2026, 22:31:36 GMT+05:30",YouTube,,1
"Surah Al-Baqarah Ayat 17-22 | Live Quran Teaching with Tajweed | #LiveQuran #QuranClassHafiz Arif voice of Quran 21 Feb 2026, 22:31:34 GMT+05:30",YouTube,,1
"Salman Khan Sister Arpita Khan ISPL Event 😍#salmankhanVlowf Films21 Feb 2026, 22:31:25 GMT+05:30",YouTube,,0
"Whose dance is the best ? A or B #shortvideo #funnymoments #dance #viratkohli #rohitsharma #viralRONAK EDITS _121 Feb 2026, 22:31:22 GMT+05:30",YouTube,,1
"Elvish is too shy ❤️‍🩹#elvishyadav #bollywood #viralvideo #shortsDeeps.Insights21 Feb 2026, 22:31:16 GMT+05:30",YouTube,,1
"#salmankhansrk_king@21 Feb 2026, 22:31:14 GMT+05:30",YouTube,,1
"February 14, 2026SHRAVAN PRAJAPATI21 Feb 2026, 22:30:55 GMT+05:30",YouTube,,1
"Virushka Moment 🥹❤️‍🩹| #viratkohli #anushkasharma #virushkaRavi Cricket Studio21 Feb 2026, 22:30:20 GMT+05:30",YouTube,,1
"CelebritiesWanderers Hub Shorts21 Feb 2026, 22:30:19 GMT+05:30",YouTube,,1
"https://www.youtube.com/watch?v=vahSrtIc9Sc21 Feb 2026, 22:29:40 GMT+05:30",YouTube,,1
"BB 9 అయిపోయిన తర్వాత ఇమాన్యుల్ తన అమ్మగారిని #india #meeshreyaMee Shreya 21 Feb 2026, 22:29:37 GMT+05:30",YouTube,,1
"Chaand Raat Mubarak 🌙 jannat zubair and Ayaan zubair#Umrah #Ramadan
👑 𝒮𝒦 𝒥𝒾𝓁𝒶𝓃𝒾 𝒪𝒻𝒻𝒾𝒸𝒾𝒶𝓁 👑
21 Feb 2026, 22:29:34 GMT+05:30",YouTube,,0
"No excuse 💯#studymotivation #motivation#fypシ #ytshorts #studymusic#studytips#viralfyp #study#exploreRapunzel Reet 21 Feb 2026, 22:29:33 GMT+05:30",YouTube,,1
"Kohli ♥️ Emotional moment ♥️STV Telugu News21 Feb 2026, 22:29:15 GMT+05:30",YouTube,,2
"శ్రీదేవి, రోషన్ డాన్స్ కుమ్మేశారు #srideviapalla #harshroshan dance #bandmelam #thippukuntunaav #ytYM Media21 Feb 2026, 22:29:14 GMT+05:30",YouTube,,1
"Main Tere Ishq Mein 2.0 dance video | 45  Isha Malviya | Danish Alfaaz | Bohemia | Ojasyaa #shortsFilms Produced 0221 Feb 2026, 22:29:10 GMT+05:30",YouTube,,0
"My kind of therapy 💖🫠😍 #youtube #babyboy #smiling #love #daivik #love #shorts #shortvideo #trendDivya Vlogs21 Feb 2026, 22:29:09 GMT+05:30",YouTube,,0
"ADIGAA😍♥️#viralshort #love#singing #singer#shortsfeed #shortsSripravsvlogs21 Feb 2026, 22:29:08 GMT+05:30",YouTube,,1
"#salmankhansrk_king@21 Feb 2026, 22:28:55 GMT+05:30",YouTube,,1
